student_id,attendance,internal_marks,assignment_score,previous_cgpa,study_hours,backlogs,practical_marks,quiz_score,previous_failures,participation,risk_level
STU0001,82.45,75.27,63.64,9.22,2.28,0,88.14,52.78,2,97.89,Medium
STU0002,72.93,82.43,63.2,6.97,2.95,1,80.07,62.98,2,24.65,Medium
STU0003,84.72,59.04,43.07,7.85,2.42,1,41.05,55.52,1,74.57,High
STU0004,97.85,53.98,65.05,6.94,3.7,0,76.46,84.16,0,77.35,Medium
STU0005,71.49,45.47,80.99,5.87,5.65,2,91.41,64.5,0,58.46,Medium
STU0006,71.49,50.14,50.89,3.66,2.11,1,54.35,52.53,0,55.2,High
STU0007,98.69,100.0,85.73,7.09,5.3,2,61.34,64.55,0,78.36,Medium
STU0008,86.51,87.4,77.32,5.71,2.09,1,66.98,62.46,0,52.7,Medium
STU0009,67.96,40.68,58.99,5.68,1.97,3,71.23,61.7,0,60.66,High
STU0010,83.14,41.2,67.88,6.1,4.97,1,58.56,77.19,0,81.25,Medium
STU0011,68.05,73.67,93.97,9.24,5.16,2,68.97,60.02,0,100.0,Medium
STU0012,68.01,74.85,81.0,10.0,5.03,1,76.73,54.72,3,75.76,Medium
STU0013,78.63,74.88,70.13,7.1,1.13,0,33.83,40.52,1,67.67,Medium
STU0014,46.3,60.41,66.43,6.15,2.66,0,69.27,64.85,0,54.67,Medium
STU0015,49.13,62.74,71.15,5.15,4.98,0,61.5,87.42,1,44.79,Medium
STU0016,66.57,70.9,62.32,7.46,3.57,0,38.98,62.77,1,87.19,Medium
STU0017,59.81,66.55,38.43,9.3,1.57,1,77.59,55.97,0,61.93,Medium
STU0018,79.71,25.05,100.0,6.45,4.32,0,73.29,51.37,2,88.01,High
STU0019,61.38,60.86,72.33,3.47,2.21,1,70.8,33.97,1,58.41,High
STU0020,53.82,49.67,75.97,7.74,6.73,1,78.38,86.18,0,52.01,Medium
STU0021,96.98,68.15,69.13,8.18,6.28,2,73.46,73.72,0,73.42,Medium
STU0022,71.61,100.0,58.97,4.58,4.59,2,55.46,78.85,0,63.47,High
STU0023,76.01,71.61,67.21,7.05,5.95,0,80.29,69.52,0,40.89,Medium
STU0024,53.63,59.36,46.01,7.43,3.62,1,83.2,50.5,0,100.0,High
STU0025,66.83,81.59,100.0,6.7,4.88,1,49.54,59.3,3,52.46,High
STU0026,76.66,73.69,51.48,5.69,6.16,0,82.97,55.99,0,83.55,Medium
STU0027,57.74,72.56,54.52,8.22,3.94,1,63.18,57.5,1,81.84,Medium
STU0028,80.64,75.92,63.4,6.24,3.04,0,78.42,57.61,2,39.81,High
STU0029,65.99,100.0,89.32,4.72,0.5,0,70.58,84.89,1,44.95,High
STU0030,70.62,44.64,70.22,3.93,3.35,0,65.08,100.0,1,58.97,High
